population,population_definition,removed_source,code,label,remaining_denominator_n,remaining_positive_records_n,remaining_positive_percent,full_rank_by_record_count,remaining_rank_by_record_count,rank_change
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",413,120,29.056,4,2,-2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,fullz_identity_package,Fullz or identity package,413,100,24.213,3,6,3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,jurisdiction_localisation,Jurisdiction-specific bank or account reference,413,103,24.939,7,5,-2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,mule_recruitment,Mule recruitment or account-holder solicitation,413,9,2.179,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,telegram_off_platform,Telegram or private-channel coordination reference,413,81,19.613,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,tutorial_training_recruitment,"Tutorial, guide, or training content",413,92,22.276,8,7,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,bank_drop_sale,Bank drop sale or bank-drop infrastructure,432,105,24.306,6,5,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,bank_log_sale,Compromised bank log sale or discussion,432,162,37.5,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,cashout_laundering_service,Cash-out or laundering service,432,115,26.62,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,432,120,27.778,2,3,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,email_access_takeover,Email-access-enabled account takeover,432,58,13.426,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",432,100,23.148,4,8,4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,fullz_identity_package,Fullz or identity package,432,122,28.241,3,2,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,jurisdiction_localisation,Jurisdiction-specific bank or account reference,432,104,24.074,7,6,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,mule_recruitment,Mule recruitment or account-holder solicitation,432,9,2.083,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,telegram_off_platform,Telegram or private-channel coordination reference,432,80,18.519,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,tutorial_training_recruitment,"Tutorial, guide, or training content",432,101,23.38,8,7,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,bank_drop_sale,Bank drop sale or bank-drop infrastructure,457,114,24.945,6,7,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,bank_log_sale,Compromised bank log sale or discussion,457,175,38.293,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,cashout_laundering_service,Cash-out or laundering service,457,118,25.821,5,5,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,457,126,27.571,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,email_access_takeover,Email-access-enabled account takeover,457,62,13.567,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",457,120,26.258,4,4,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,fullz_identity_package,Fullz or identity package,457,124,27.133,3,3,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,jurisdiction_localisation,Jurisdiction-specific bank or account reference,457,116,25.383,7,6,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,mule_recruitment,Mule recruitment or account-holder solicitation,457,9,1.969,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,telegram_off_platform,Telegram or private-channel coordination reference,457,81,17.724,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,tutorial_training_recruitment,"Tutorial, guide, or training content",457,104,22.757,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,bank_drop_sale,Bank drop sale or bank-drop infrastructure,462,116,25.108,6,6,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,bank_log_sale,Compromised bank log sale or discussion,462,177,38.312,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,cashout_laundering_service,Cash-out or laundering service,462,118,25.541,5,5,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,462,126,27.273,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,email_access_takeover,Email-access-enabled account takeover,462,62,13.42,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",462,120,25.974,4,4,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,fullz_identity_package,Fullz or identity package,462,124,26.84,3,3,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,jurisdiction_localisation,Jurisdiction-specific bank or account reference,462,116,25.108,7,7,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,mule_recruitment,Mule recruitment or account-holder solicitation,462,9,1.948,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,telegram_off_platform,Telegram or private-channel coordination reference,462,81,17.532,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,tutorial_training_recruitment,"Tutorial, guide, or training content",462,104,22.511,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,bank_drop_sale,Bank drop sale or bank-drop infrastructure,459,116,25.272,6,6,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,bank_log_sale,Compromised bank log sale or discussion,459,176,38.344,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,cashout_laundering_service,Cash-out or laundering service,459,118,25.708,5,5,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,459,123,26.797,2,3,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,email_access_takeover,Email-access-enabled account takeover,459,62,13.508,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",459,120,26.144,4,4,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,fullz_identity_package,Fullz or identity package,459,124,27.015,3,2,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,jurisdiction_localisation,Jurisdiction-specific bank or account reference,459,115,25.054,7,7,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,mule_recruitment,Mule recruitment or account-holder solicitation,459,9,1.961,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,telegram_off_platform,Telegram or private-channel coordination reference,459,81,17.647,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,tutorial_training_recruitment,"Tutorial, guide, or training content",459,104,22.658,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,bank_drop_sale,Bank drop sale or bank-drop infrastructure,457,115,25.164,6,5,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,bank_log_sale,Compromised bank log sale or discussion,457,174,38.074,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,cashout_laundering_service,Cash-out or laundering service,457,115,25.164,5,6,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,457,122,26.696,2,3,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,email_access_takeover,Email-access-enabled account takeover,457,61,13.348,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",457,117,25.602,4,4,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,fullz_identity_package,Fullz or identity package,457,124,27.133,3,2,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,jurisdiction_localisation,Jurisdiction-specific bank or account reference,457,115,25.164,7,7,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,mule_recruitment,Mule recruitment or account-holder solicitation,457,9,1.969,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,telegram_off_platform,Telegram or private-channel coordination reference,457,77,16.849,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,tutorial_training_recruitment,"Tutorial, guide, or training content",457,101,22.101,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,bank_drop_sale,Bank drop sale or bank-drop infrastructure,460,115,25.0,6,7,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,bank_log_sale,Compromised bank log sale or discussion,460,177,38.478,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,cashout_laundering_service,Cash-out or laundering service,460,118,25.652,5,5,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,460,124,26.957,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,email_access_takeover,Email-access-enabled account takeover,460,62,13.478,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",460,119,25.87,4,4,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,fullz_identity_package,Fullz or identity package,460,124,26.957,3,3,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,jurisdiction_localisation,Jurisdiction-specific bank or account reference,460,116,25.217,7,6,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,mule_recruitment,Mule recruitment or account-holder solicitation,460,9,1.957,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,telegram_off_platform,Telegram or private-channel coordination reference,460,81,17.609,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,tutorial_training_recruitment,"Tutorial, guide, or training content",460,103,22.391,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,bank_drop_sale,Bank drop sale or bank-drop infrastructure,427,114,26.698,6,4,-2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,bank_log_sale,Compromised bank log sale or discussion,427,162,37.939,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,cashout_laundering_service,Cash-out or laundering service,427,109,25.527,5,6,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,427,113,26.464,2,5,3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,email_access_takeover,Email-access-enabled account takeover,427,58,13.583,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",427,118,27.635,4,2,-2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,fullz_identity_package,Fullz or identity package,427,105,24.59,3,7,4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,jurisdiction_localisation,Jurisdiction-specific bank or account reference,427,116,27.166,7,3,-4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,mule_recruitment,Mule recruitment or account-holder solicitation,427,6,1.405,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,telegram_off_platform,Telegram or private-channel coordination reference,427,63,14.754,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,2. Altenen,tutorial_training_recruitment,"Tutorial, guide, or training content",427,85,19.906,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,bank_drop_sale,Bank drop sale or bank-drop infrastructure,395,104,26.329,6,5,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,bank_log_sale,Compromised bank log sale or discussion,395,162,41.013,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,cashout_laundering_service,Cash-out or laundering service,395,106,26.835,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,395,110,27.848,2,3,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,email_access_takeover,Email-access-enabled account takeover,395,53,13.418,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",395,103,26.076,4,6,2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,fullz_identity_package,Fullz or identity package,395,112,28.354,3,2,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,jurisdiction_localisation,Jurisdiction-specific bank or account reference,395,103,26.076,7,7,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,mule_recruitment,Mule recruitment or account-holder solicitation,395,6,1.519,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,telegram_off_platform,Telegram or private-channel coordination reference,395,62,15.696,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,3. Pitch,tutorial_training_recruitment,"Tutorial, guide, or training content",395,84,21.266,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,bank_drop_sale,Bank drop sale or bank-drop infrastructure,430,110,25.581,6,5,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,bank_log_sale,Compromised bank log sale or discussion,430,149,34.651,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,cashout_laundering_service,Cash-out or laundering service,430,96,22.326,5,8,3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,430,102,23.721,2,6,4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,email_access_takeover,Email-access-enabled account takeover,430,58,13.488,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",430,119,27.674,4,2,-2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,fullz_identity_package,Fullz or identity package,430,112,26.047,3,4,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,jurisdiction_localisation,Jurisdiction-specific bank or account reference,430,114,26.512,7,3,-4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,mule_recruitment,Mule recruitment or account-holder solicitation,430,9,2.093,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,telegram_off_platform,Telegram or private-channel coordination reference,430,81,18.837,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,4. Caders Heven,tutorial_training_recruitment,"Tutorial, guide, or training content",430,102,23.721,8,7,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,bank_drop_sale,Bank drop sale or bank-drop infrastructure,416,110,26.442,6,5,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,bank_log_sale,Compromised bank log sale or discussion,416,175,42.067,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,cashout_laundering_service,Cash-out or laundering service,416,86,20.673,5,8,3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,416,119,28.606,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,email_access_takeover,Email-access-enabled account takeover,416,62,14.904,10,9,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",416,116,27.885,4,4,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,fullz_identity_package,Fullz or identity package,416,119,28.606,3,3,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,jurisdiction_localisation,Jurisdiction-specific bank or account reference,416,105,25.24,7,6,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,mule_recruitment,Mule recruitment or account-holder solicitation,416,8,1.923,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,telegram_off_platform,Telegram or private-channel coordination reference,416,59,14.183,9,10,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,5. CardPro,tutorial_training_recruitment,"Tutorial, guide, or training content",416,101,24.279,8,7,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,bank_drop_sale,Bank drop sale or bank-drop infrastructure,415,107,25.783,6,5,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,bank_log_sale,Compromised bank log sale or discussion,415,172,41.446,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,cashout_laundering_service,Cash-out or laundering service,415,108,26.024,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,415,116,27.952,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,email_access_takeover,Email-access-enabled account takeover,415,59,14.217,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",415,79,19.036,4,9,5
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,fullz_identity_package,Fullz or identity package,415,104,25.06,3,6,3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,jurisdiction_localisation,Jurisdiction-specific bank or account reference,415,110,26.506,7,3,-4
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,mule_recruitment,Mule recruitment or account-holder solicitation,415,9,2.169,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,telegram_off_platform,Telegram or private-channel coordination reference,415,81,19.518,9,8,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,6. The X Wave Market,tutorial_training_recruitment,"Tutorial, guide, or training content",415,94,22.651,8,7,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,bank_drop_sale,Bank drop sale or bank-drop infrastructure,425,102,24.0,6,6,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,bank_log_sale,Compromised bank log sale or discussion,425,149,35.059,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,cashout_laundering_service,Cash-out or laundering service,425,114,26.824,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,425,120,28.235,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,email_access_takeover,Email-access-enabled account takeover,425,41,9.647,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",425,119,28.0,4,3,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,fullz_identity_package,Fullz or identity package,425,112,26.353,3,5,2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,jurisdiction_localisation,Jurisdiction-specific bank or account reference,425,81,19.059,7,8,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,mule_recruitment,Mule recruitment or account-holder solicitation,425,9,2.118,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,telegram_off_platform,Telegram or private-channel coordination reference,425,79,18.588,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,7. Meta Banklogs,tutorial_training_recruitment,"Tutorial, guide, or training content",425,98,23.059,8,7,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,bank_drop_sale,Bank drop sale or bank-drop infrastructure,450,115,25.556,6,6,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,bank_log_sale,Compromised bank log sale or discussion,450,173,38.444,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,cashout_laundering_service,Cash-out or laundering service,450,118,26.222,5,4,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,450,125,27.778,2,2,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,email_access_takeover,Email-access-enabled account takeover,450,58,12.889,10,10,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",450,119,26.444,4,3,-1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,fullz_identity_package,Fullz or identity package,450,118,26.222,3,5,2
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,jurisdiction_localisation,Jurisdiction-specific bank or account reference,450,111,24.667,7,7,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,mule_recruitment,Mule recruitment or account-holder solicitation,450,9,2.0,11,11,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,telegram_off_platform,Telegram or private-channel coordination reference,450,81,18.0,9,9,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,8. Secure ccSeller,tutorial_training_recruitment,"Tutorial, guide, or training content",450,100,22.222,8,8,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,9. Deep Shop,bank_drop_sale,Bank drop sale or bank-drop infrastructure,432,116,26.852,6,3,-3
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,9. Deep Shop,bank_log_sale,Compromised bank log sale or discussion,432,162,37.5,1,1,0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,9. Deep Shop,cashout_laundering_service,Cash-out or laundering service,432,114,26.389,5,6,1
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,9. Deep Shop,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,432,116,26.852,2,4,2
